,Unnamed: 0,Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,occurence,keywords,key_words_count
42,185,Exploring object representations: Virtual reality models for environmental planning projects,I. Heldal; M. Roupé,"Informatics Research Centre, University of Skövde, Skovde, Sweden; Department of Construction Management, Chalmers University of Technology, Goteborg, Sweden",2012 18th International Conference on Virtual Systems and Multimedia,3 Dec 2012,2012,,,149,156,"Using Virtual Reality (VR) models that support planning and design has become increasingly recognized, especially for visualizing future environmental changes. When designing and communicating these changes they are sometimes simplified while at other times photorealistic representations are used. All the parties involved should trust these representations throughout the entire project. This is not the case today. Representations can be mistrusted, misleading or even misused by certain stakeholders, whilst others regard them as supportive. The overall aim of this paper is to investigate the impact of the used representations and the associated risks and benefits that influence communication. While there are several studies in this research area, there are no earlier studies that have investigated the role of representations through long-term, practical projects. Supported by examples from both practical and research studies, the results illustrate how the validity of representations depends on the major project phases. The results illustrate user demands for more supportive object representations, e.g. illustrating possible known object deviations, information on validity and reliability related to objects in context, and for additional clarifications depending on the project phase, especially regarding representations that are too photorealistic.",,978-1-4673-2563-9,10.1109/VSMM.2012.6365919,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6365919,Virtual reality;representations;simplifications;photorealism;validity;urban planning;environmental planning,Planning;Roads;Visualization;Interviews;Cities and towns;Libraries;Urban planning,data visualisation;town and country planning;virtual reality,object representations;virtual reality models;environmental planning projects;VR models;environmental changes;photorealistic representations;project phase;urban planning,,1.0,,36.0,IEEE,3 Dec 2012,,,IEEE,IEEE Conferences,43,"{'reliability', 'virtual', 'reality'}",3
36,261,Multi-Sensorial Human Perceptual Experience Model Identifier for Haptics Virtual Reality Services in Tactful Networking,B. Picano,"Department of Information Engineering, University of Florence, Firenze, Italy",IEEE Access,9 Nov 2021,2021,9.0,,147549,147558,"The tactful networking paradigm is expected to play a crucial role in the next generation networks. Accordingly, adaptive human-aware environments, sensitive to the daily human behavior and individual traits have to be provided, in order to offer a fully immersive and customized experience to users. On the basis of data collected by actual cognitive experiments, this paper proposes a learning framework to discover the multi-sensory human perceptual experience. The paper applies the mixture density network to identify the perception model considering different senses, and then the multi-sensory integration is performed, accordingly to the actual neuro-cognitive model. Furthermore, a supervised learning module has been used to cluster the users on the basis of the human perception identification strategy previously designed, assuming a multimodal structure for the cognitive brain activity. Finally, a practical contextualization is presented, in relation to the haptics virtual reality services. What emerges from the results is the effectiveness of the tactful approach, i.e., brain-aware, involving the proposed framework, which is validated in comparison to the more conventional brain-agnostic scheme. In fact, the system performance, expressed in terms of reliability in guaranteeing the service exploitation before a target deadline based on the integrated perception, reaches remarkable improvements applying the brain-aware strategy, which exploits the human perception knowledge.",2169-3536,,10.1109/ACCESS.2021.3124607,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9597560,Human-in-the-loop;quality-of-experience;tactful networking;supervised learning,Visualization;Brain modeling;Solid modeling;Supervised learning;Quality of service;Haptic interfaces;Unsupervised learning,brain;cognition;haptic interfaces;learning (artificial intelligence);neurophysiology;virtual reality,multisensorial human perceptual experience model identifier;haptics virtual reality services;tactful networking paradigm;human-aware environments;daily human behavior;fully immersive experience;customized experience;actual cognitive experiments;learning framework;multisensory human perceptual experience;mixture density network;perception model;multisensory integration;actual neuro-cognitive model;supervised learning module;human perception identification strategy;cognitive brain activity;tactful approach;integrated perception;brain-aware strategy;human perception knowledge,,3.0,,36.0,CCBY,1 Nov 2021,,,IEEE,IEEE Journals,43,"{'reliability', 'virtual', 'reality'}",3
85,32,Application of Virtual Reality Technology in College Students' Social Anxiety Intervention Platform with C# Implementations,X. Ding; S. Shen; G. Cui; Y. Wang; J. Tan; Q. Zhong,"Shaoyang University, Shaoyang, Hunan, China; Shaoyang University, Shaoyang, Hunan, China; Shaoyang University, Shaoyang, Hunan, China; Shaoyang University, Shaoyang, Hunan, China; Shaoyang University, Shaoyang, Hunan, China; Shaoyang University, Shaoyang, Hunan, China",2022 International Conference on Applied Artificial Intelligence and Computing (ICAAIC),16 Jun 2022,2022,,,877,880,"This paper studies the construction of college students' social anxiety intervention platform based on the virtual reality technology implemented by C#. The results of an empirical study on the intervention of virtual reality technology on anxiety disorders (including specific phobias, obsessive-compulsive disorder and social anxiety) in autism spectrum disorder groups show that: the intervention effect of virtual reality technology on adult patients with specific phobias in the autism spectrum disorder group It is better than school-age children. In order to further understand the reliability and ecological validity of the test subject's assessment under the intervention of the virtual environment, a controlled experiment was used to analyze the experimental data, and the Cronbach reliability coefficient was used to determine the relationship between the self-awareness scale and the The reliability of the Social Anxiety Scale was analyzed, and the correlation and significance level of each scale were analyzed by S PS S software.",,978-1-6654-9710-7,10.1109/ICAAIC53929.2022.9793152,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9793152,Virtual Reality;College Students;Social Anxiety;Intervention Platform,Autism;Pediatrics;Correlation;Anxiety disorders;Virtual environments;Software;Software reliability,C# language;cognition;educational institutions;medical computing;medical disorders;patient treatment;psychology;virtual reality,autism spectrum disorder group;social anxiety scale;virtual reality technology;anxiety disorders;college students social anxiety intervention platform;C# implementations;obsessive-compulsive disorder;Cronbach reliability coefficient,,,,24.0,IEEE,16 Jun 2022,,,IEEE,IEEE Conferences,43,"{'reliability', 'virtual', 'reality'}",3
44,183,Learning-Based Prediction and Proactive Uplink Retransmission for Wireless Virtual Reality Network,X. Liu; X. Li; Y. Deng,"Department of Engineering, King's College London, London, U.K.; Department of Engineering, King's College London, London, U.K.; Department of Engineering, King's College London, London, U.K.",IEEE Transactions on Vehicular Technology,15 Oct 2021,2021,70.0,10.0,10723,10734,"Wireless Virtual Reality (VR) users are able to enjoy immersive experience from anywhere at anytime. However, providing full spherical VR video with high quality under limited VR interaction latency is challenging. If the viewpoint of the VR user can be predicted in advance, only the required viewpoint is needed to be rendered and delivered, which can reduce the VR interaction latency. Therefore, in this paper, we use offline and online learning algorithms to predict viewpoint of the VR user using real VR dataset. For the offline learning algorithm, the trained learning model is directly used to predict the viewpoint of VR users in continuous time slots. While for the online learning algorithm, based on the VR user's actual viewpoint delivered through uplink transmission, we compare it with the predicted viewpoint and update the parameters and input viewpoints of the online learning algorithm to further improve the prediction accuracy. To guarantee the reliability of the uplink transmission, we integrate the Proactive retransmission scheme into our proposed online learning algorithm. Simulation results show that our proposed online learning algorithm for uplink wireless VR network with the proactive retransmission scheme only exhibits about 5$\%$ prediction error.",1939-9359,,10.1109/TVT.2021.3102844,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9508152,Viewpoint prediction;uplink retransmission;offline and online learning;virtual reality (VR),Uplink;Wireless communication;Prediction algorithms;Predictive models;Heuristic algorithms;Sports;Adaptation models,computer aided instruction;mobile radio;radio access networks;virtual reality,uplink transmission;proactive retransmission scheme;online learning algorithm;wireless virtual reality network;spherical VR video;VR interaction;VR dataset;offline learning algorithm;learning model training;input viewpoints;learning-based prediction;proactive uplink retransmission;uplink wireless VR network,,3.0,,46.0,IEEE,5 Aug 2021,,,IEEE,IEEE Journals,43,"{'reliability', 'virtual', 'reality'}",3
45,182,Through the eye of the master: The use of Virtual Reality in the teaching of surgical hand preparation,B. Harrison; R. Oehmen; A. Robertson; B. Robertson; P. De Cruz; R. Khan; D. Fick,"School of Medicine, University of Notre Dame Fremantle, Perth, Australia; School of Medicine, University of Notre Dame Fremantle, Perth, Australia; Surgical Realities Pty Ltd, Perth, Australia; Surgical Realities Pty Ltd, Perth, Australia; The Joint Studio, Perth, Australia; The Joint Studio, Perth, Australia; The Joint Studio, Perth, Australia",2017 IEEE 5th International Conference on Serious Games and Applications for Health (SeGAH),8 Jun 2017,2017,,,1,6,"Virtual Reality (VR) demonstrates unique educational benefits over other teaching mediums including enhanced engagement and learner motivation. Such benefits could be exploited to improve teaching of surgical hand preparation (SHP), a practice crucial in preventing post-surgical infection. This study hypothesises that the utilisation of VR technology to demonstrate SHP technique will produce superior skill acquisition and longer skill retention than the standard practice of video demonstration. 40 healthcare students unfamiliar with SHP were recruited from a tertiary university and randomised into two groups. The control group (n=21) viewed a video demonstration of SHP while the VR group (n=19) viewed a VR demonstration of the same technique. Participants were assessed immediately after demonstration (acquisition score), and again one week later (retention score), using a 20-point assessment scale. Scores were compared between the groups. Groups were equal in age, prior education, handedness and gender distribution. Neither skill acquisition (Control mean: 12.29, VR mean: 12.84; p = 0.57) nor retention (Control mean: 12.29, VR mean: 12.74; p = 0.52) differed significantly between groups however a non-significant trend toward better performance in the VR group was observed. Parallel scoring of 35% of participants showed very high inter-rater reliability (intra-class correlation coefficient = 0.92). Utilisation of VR technology did not demonstrate a perceivable acquisition or retention benefit in the teaching of SHP. Future studies could investigate the value of more immersive features including 360-degree point of view or haptic feedback which were not features of the technology used in the present study.",,978-1-5090-5482-4,10.1109/SeGAH.2017.7939269,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7939269,Surgical Hand Preparation;Virtual Reality;Training,Surgery;Atmospheric measurements;Particle measurements;Pollution measurement;Standards;Muscles,biomedical education;haptic interfaces;health care;medical computing;surgery;virtual reality,surgical hand preparation;post-surgical infection;virtual reality technology;SHP technique;video demonstration;health care students;intraclass correlation coefficient;haptic feedback,,5.0,,21.0,IEEE,8 Jun 2017,,,IEEE,IEEE Conferences,43,"{'reliability', 'virtual', 'reality'}",3
82,37,Design of Digital Media Virtual Display Platform Based on Virtual Reality Technology,Z. Hong-Yan,"Sichuan Vocational and Technical College, Sichuan, China","2021 International Conference on Intelligent Transportation, Big Data & Smart City (ICITBS)",3 Sep 2021,2021,,,399,402,"In order to improve the object-oriented and visual presentation ability of the digital media virtual display platform, the virtual reality technology is adopted to design the digital media virtual display platform. In the virtual reality environment, a design method of digital media virtual display platform based on multi-thread fusion scheduling and image fusion processing is proposed. The general structure model of digital media virtual display platform is constructed, the image information transmission channel model of digital media virtual display system platform is constructed by adopting serial VIX bus control technology, the basic entity object of digital media virtual display platform is constructed, and the multi-thread scheduling method is adopted for image fusion information scheduling and digital media control processing of digital media virtual display platform. The visual simulation and image processing model of digital media virtual display are constructed by using the serial channel control model, and the communication design between the system multi-channel serial port and the host computer is carried out. The software development of digital media virtual display platform is realized on MATLAB and VC++ platform. Experimental results show that the visual simulation effect of the digital media virtual display platform is good, which improves the reliability and stability of the digital media virtual display system platform and reduces the error of digital media information transmission.",,978-1-6654-4854-3,10.1109/ICITBS53129.2021.00104,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9526019,virtual reality technology;Digital media;Virtual display system;Multithread scheduling,Solid modeling;Visualization;Computational modeling;Object oriented modeling;Display systems;Virtual reality;Information processing,image fusion;multi-threading;scheduling;virtual reality,digital media virtual display system platform;virtual reality technology;object-oriented presentation ability;visual presentation ability;virtual reality environment;multithread fusion scheduling;image fusion processing;MATLAB;VC++ platform,,,,9.0,IEEE,3 Sep 2021,,,IEEE,IEEE Conferences,43,"{'reliability', 'virtual', 'reality'}",3
47,169,Challenges for enabling virtual reality broadcast using 5G small cell network,A. Prasad; M. A. Uusitalo; D. Navrátil; M. Säily,"NOKIA Bell Labs, Nokia Group, Finland; NOKIA Bell Labs, Nokia Group, Finland; NOKIA Bell Labs, Nokia Group, Finland; NOKIA Bell Labs, Nokia Group, Finland",2018 IEEE Wireless Communications and Networking Conference Workshops (WCNCW),31 May 2018,2018,,,220,225,"In the recent past, with the ubiquitous adoption of smartphones and tablets, there has been an exponential increase in data rate demands which has become increasingly challenging for network operators to support. This trend is expected to continue in future, with the advent of high-performance gaming and increasing appetite for immersive applications and social media experiences. Such factors have contributed to the development of the fifth generation (5G) of mobile networks, which would be supporting significantly higher data rates with improved reliability and latency. 5G has also enabled the deployment of wireless virtual reality applications, with wide-ranging use cases. In this work, we consider the key challenges for broadcasting such content to a large number of audience thereby enabling new disruptions in mass media consumption. The technology potential and practical constraints for such deployments were also evaluated using realistic network settings. Based on the performance evaluations, it was shown that with slightly higher system bandwidth requirements, VR broadcast can be supported under ideal conditions, using 5G millimeter wave small cell networks. Potential areas for future work in order to make VR broadcast a reality is also discussed.",,978-1-5386-1154-8,10.1109/WCNCW.2018.8368976,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8368976,,5G mobile communication;Bandwidth;Interference;Conferences;Wireless communication;Long Term Evolution,5G mobile communication;broadcast communication;cellular radio;smart phones;virtual reality,wireless virtual reality applications;mass media consumption;VR broadcast;5G millimeter wave small cell networks;cell network;smartphones;social media experiences;mobile networks;reliability;virtual reality broadcasting;fifth generation network;5G network,,17.0,,17.0,IEEE,31 May 2018,,,IEEE,IEEE Conferences,43,"{'reliability', 'virtual', 'reality'}",3
50,158,MAC Scheduling for Multiuser Wireless Virtual Reality in 5G MIMO-OFDM Systems,M. Huang; X. Zhang,Intel Corporation; Intel Corporation,2018 IEEE International Conference on Communications Workshops (ICC Workshops),5 Jul 2018,2018,,,1,6,"Wireless Virtual Reality (VR) is a new-arising technology to enable the untethered connection between VR server and VR client, which needs to support simultaneously ultra-high data rate and ultra-high transfer reliability for video streaming, and also ultra-high responsive speed for motion-to-photon latency. Such three ultra-high (3UH) requirements constitute the basic characteristics of the generalized tactile internet. This paper proposes a multiuser MAC scheduling scheme for VR service in 5G MIMO-OFDM system, which can maximize the number of simultaneous VR clients while guaranteeing their 3UH quality-of-experience (QoE). Specifically, this scheme is composed of three novel functions, including video frame differentiation and delay-based weight calculation, spatial-frequency user selection based on maximum aggregate delay-capacity utility (ADCU), and link adaptation with dynamic block-error-rate (BLER) target. In addition, a low-complexity downlink MIMO user selection algorithm is developed, which can reduce the calculation amount with one order. It is demonstrated by the simulation results that the proposed scheme increases 31.6% for the maximum number of simultaneously served VR users than the traditional scheme with maximum-sum-capacity based scheduling and fixed BLER target based link adaptation.",2474-9133,978-1-5386-4328-0,10.1109/ICCW.2018.8403486,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8403486,,Streaming media;Wireless communication;5G mobile communication;Servers;Base stations;Payloads;Reliability,5G mobile communication;access protocols;Internet;MIMO communication;multi-access systems;OFDM modulation;quality of experience;radio links;telecommunication scheduling;video streaming;virtual reality,untethered connection;VR server;ultra-high data rate;ultra-high transfer reliability;video streaming;ultra-high responsive speed;ultra-high requirements;multiuser MAC scheduling scheme;VR service;simultaneous VR clients;3UH quality-of-experience;video frame differentiation;spatial-frequency user selection;maximum aggregate delay-capacity utility;dynamic block-error-rate target;low-complexity downlink MIMO user selection algorithm;simultaneously served VR users;multiuser wireless virtual reality;5G MIMO-OFDM systems;motion-to-photon latency;generalized tactile Internet;delay-based weight calculation;ADCU;link adaptation;BLER,,9.0,,15.0,IEEE,5 Jul 2018,,,IEEE,IEEE Conferences,43,"{'reliability', 'virtual', 'reality'}",3
49,165,Allocation of Virtual Infrastructures on Multiple IaaS Providers with Survivability and Reliability Requirements,A. S. Raugust; F. R. d. Souza; M. A. Pillon; C. C. Miers; G. P. Koslovski,"Graduate Program in Applied Computing - Santa Catarina State University, Joinville, Brazil; NA; Graduate Program in Applied Computing - Santa Catarina State University, Joinville, Brazil; Graduate Program in Applied Computing - Santa Catarina State University, Joinville, Brazil; Graduate Program in Applied Computing - Santa Catarina State University, Joinville, Brazil",2018 IEEE 32nd International Conference on Advanced Information Networking and Applications (AINA),13 Aug 2018,2018,,,1147,1154,"The cloud computing paradigm consolidated the on-demand provisioning of virtual resources. However, the diversity of services, prices, data centers, and geographical footprints, have turned the clouds into a complex and heterogeneous environment. There are several IaaS providers differentiated by the provisioning costs and availability figures. Due to management complexity, the survivability and reliability aspects are often disregarded by tenants, eventually resulting in heavy losses due to unavailability of services that are hosted on Virtual Infrastructures (VIs). We present an alternative to improve VIs survivability and reliability, which considers the use of replicas and the spreading of virtual resources atop providers, regions, and zones. Replicas are used to achieve a user-defined reliability level while the controlled spreading of VI components decrease the probability of full outages. In addition, our proposal performs a cost-effective allocation. We formulate the VI allocation with survivability and reliability requirements as a Mixed Integer Program (MIP). Following, binary constraints are relaxed to obtain a Linear Program (LP). The LP solution is given as input for the simulated annealing technique, composing the Reliable and Survivable Virtual Infrastructure Allocation (RS-VIA) mechanism. Simulation results with different reliability requests indicate an increasing in survivability without inflating costs.",2332-5658,978-1-5386-2195-0,10.1109/AINA.2018.00164,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8432366,Virtual infrastructures;allocation;survivable;IaaS;multi-provider;reliable,Reliability;Cloud computing;Resource management;Data transfer;Servers;Quality of service;Proposals,cloud computing;integer programming;linear programming;resource allocation;simulated annealing;virtual reality,management complexity;virtual resources;user-defined reliability level;cost-effective allocation;reliability requirements;multiple IaaS providers;on-demand provisioning;data centers;geographical footprints;clouds;survivability requirements;Virtual Infrastructures Allocation;reliability requests;Linear Program;Mixed Integer Program;simulated annealing technique;Reliable and Survivable Virtual Infrastructure Allocation;RS-VIA mechanism,,2.0,,22.0,IEEE,13 Aug 2018,,,IEEE,IEEE Conferences,43,"{'reliability', 'mixed', 'virtual'}",3
91,18,Reliability and Validity of a Virtual Reality-Based System for Evaluating Postural Stability,H. -W. Liang; S. -Y. Chi; B. -Y. Chen; Y. -H. Hwang,"Department of Physical Medicine and Rehabilitation, National Taiwan University Hospital, Taipei, Taiwan; Department of Physical Medicine and Rehabilitation, National Taiwan University Hospital, Taipei, Taiwan; College of Public Health, Institute of Environmental and Occupational Health Sciences, National Taiwan University, Taipei, Taiwan; Institute of Environmental and Occupational Health Sciences, National Taiwan University, Taipei, Taiwan",IEEE Transactions on Neural Systems and Rehabilitation Engineering,25 Feb 2021,2021,29.0,,85,91,"Postural stability is an important indicator of balance and is commonly evaluated in neurorehabilitation. We proposed a system based on a virtual reality (HTC Vive) system with a tracker at the lumbar area. The position data of the tracker were obtained through detection of the sensors on the tracker by the VR system. The reliability and validity of these sway parameters to measure postural stability were evaluated. Twenty healthy adults had their postural sway measured with this system and a force platform system under four stance conditions, with wideor narrow-stance and eyes open or closed. The path data from both systems were computed to obtain the following parameters: the mean distance and the mean velocity in the medial-lateral and anterior-posterior directions and the 95% confidence ellipse area. The reliability of the Vive-based sway measures was tested with intraclass correlation coefficients (ICCs). The convergent validity was tested against the center of pressure (COP) parameters from the force platform system. Finally, the discriminative validity was tested for the above four conditions. The results indicated that the Vive-based sway parameters had moderate to high reliability (ICCs: 0.56 ~ 0.90) across four conditions and correlated moderately to very highly with the COP parameters (r = 0.420 ~ 0.959). Bland-Altman plotting showed generally good agreement, with negative offset for the Vive-based sway parameters. The sway parameters obtained by the Vive-based system also discriminated well among the tasks. In conclusion, the results support this system as a simple and easy-to-use tool to evaluate postural stability with acceptable reliability and validity.",1558-0210,,10.1109/TNSRE.2020.3034876,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9245535,Biomechanics;instruments;measurement;virtual reality,Force;Reliability;Foot;Area measurement;Virtual reality;Sensor systems,biomechanics;biomedical measurement;mechanoception;neurophysiology;patient rehabilitation;virtual reality,virtual reality system;HTC Vive;VR system;force platform system;stance conditions;wideor narrow-stance;medial-lateral directions;anterior-posterior directions;Vive-based sway measures;pressure parameters;Vive-based sway parameters;COP parameters;Vive-based system;virtual reality-based system,Adult;Humans;Postural Balance;Reproducibility of Results;Virtual Reality,5.0,,26.0,CCBYNCND,30 Oct 2020,,,IEEE,IEEE Journals,43,"{'reliability', 'virtual', 'reality'}",3
1,0,Reliability of phantom pain relief in neurorehabilitation using a multimodal virtual reality system,Y. Sano; A. Ichinose; N. Wake; M. Osumi; M. Sumitani; S. -i. Kumagaya; Y. Kuniyoshi,"The Department of Mechano- Informatics, The University of Tokyo, Tokyo, Japan; The Department of Mechano- Informatics, The University of Tokyo, Tokyo, Japan; The Department of Mechano- Informatics, The University of Tokyo, Tokyo, Japan; The Neurorehabilitation Research Center, Kio University, Nara, Japan; The Anesthesiology and Pain Relief Center, The University of Tokyo Hospital, Tokyo, Japan; The Research Center for Advanced Science and Technology, The University of Tokyo, Tokyo, Japan; The Department of Mechano- Informatics, The University of Tokyo, Tokyo, Japan",2015 37th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),5 Nov 2015,2015,,,2482,2485,"The objective of this study is to demonstrate the reliability of relief from phantom limb pain in neurore-habilitation using a multimodal virtual reality system. We have developed a virtual reality rehabilitation system with multimodal sensory feedback and applied it to six patients with brachial plexus avulsion or arm amputation. In an experiment, patients executed a reaching task using a virtual phantom limb displayed in a three-dimensional computer graphic environment manipulated by their real intact limb. The intensity of the phantom limb pain was evaluated through a short-form McGill pain questionnaire. The experiments were conducted twice on different days at more than four-week intervals for each patient. The reliability of our task's ability to relieve pain was demonstrated by the test-retest method, which checks the degree of the relative similarity between the pain reduction rates in two experiments using Fisher's intraclass correlation coefficient (ICC). The ICC was 0.737, indicating sufficient reproducibility of our task. The average of the reduction rates across participants was 50.2%, and it was significantly different from 0 (p <; 0:001). Overall, our findings indicate that neurorehabilitation using our multimodal virtual reality system reduces the phantom limb pain with sufficient reliability.",1558-4615,978-1-4244-9271-8,10.1109/EMBC.2015.7318897,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7318897,,Pain;Phantoms;Virtual reality;Medical treatment;Visualization;Reliability;Mirrors,medical computing;patient rehabilitation;phantoms;reliability;virtual reality,reliability;neurorehabilitation;multimodal virtual reality system;phantom limb pain;virtual reality rehabilitation system;multimodal sensory feedback;virtual phantom limb;McGill pain questionnaire;test-retest method;intraclass correlation coefficient;ICC;reproducibility,Humans;Neurological Rehabilitation;Phantom Limb;User-Computer Interface,8.0,,18.0,IEEE,5 Nov 2015,,,IEEE,IEEE Conferences,43,"{'reliability', 'virtual', 'reality'}",3
81,10,A new approach to quantify elbow position sense using an exoskeleton and a virtual reality display,A. Deblock-Bellamy; C. S. Batcho; C. Mercier; A. K. Blanchette,"CIRRIS, Universite Laval, Quebec city, Canada; CIRRIS, Universite Laval, Quebec city, Canada; CIRRIS, Universite Laval, Quebec city, Canada; CIRRIS, Universite Laval, Quebec city, Canada",2017 International Conference on Virtual Rehabilitation (ICVR),14 Aug 2017,2017,,,1,2,"Most of the proprioception assessments commonly used are not adapted for individuals who present multiple impairments after a stroke. Indeed, these assessments require certain motor or cognitive functions that are generally affected after a stroke. We have therefore developed a protocol, combining a robotic device and a virtual reality display, that enables the assessment of position sense without requiring active movement in the evaluated arm, involving the opposite arm or relying on working memory. As a preliminary step of validation, elbow joint position sense of healthy young adults was quantified and test-retest reliability was studied. Results show that this protocol can quantify elbow position sense of healthy young adults (mean detection threshold: around 7 degrees), with a fair to good test-retest reliability.",2331-9569,978-1-5090-3053-8,10.1109/ICVR.2017.8007518,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8007518,Proprioception;assessment;reliability;robotics;virtual reality;upper limb,Reliability;Elbow;Exoskeletons;Protocols;Robot sensing systems;Virtual reality,medical robotics;patient rehabilitation;virtual reality,elbow position;exoskeleton;virtual reality display;proprioception assessments;cognitive functions;robotic device;working memory,,,,8.0,IEEE,14 Aug 2017,,,IEEE,IEEE Conferences,43,"{'reliability', 'virtual', 'reality'}",3
80,38,Development of the Motivation and Engagement in Virtual Reality Chinese Language Learning Questionnaire (MEVRCLQ),G. Chih Nuo Chao; S. Y. Jong; C. S. Chai; T. H. Luk,"Chinese University of Hong Kong, Hong Kong, China; Chinese University of Hong Kong, Hong Kong, China; Chinese University of Hong Kong, Hong Kong, China; Chinese University of Hong Kong, Hong Kong, China",2020 International Symposium on Educational Technology (ISET),7 Oct 2020,2020,,,67,72,"Motivation and engagement play a key role in students' academic achievement. With the increasing adoption of virtual reality (VR) technology in language learning in recent years, there arises an urging need to develop an instrument for assessing the influence of VR technology on students' motivation and engagement in language learning. This research aimed to construct the said instrument, namely Motivational and Engagement in Virtual Reality Chinese Language Learning Questionnaires (MEVRCLQ). With a sample of 196 Chinese secondary school students in Hong Kong, the MEVRCLQ was validated with adequate reliability in measuring students' motivation and engagement in the context of VR-assisted Chinese language learning. This is the first study of investigating the association of students' first language (L1) related learning outcomes with motivation and engagement constructs.",,978-1-7281-7189-0,10.1109/ISET49818.2020.00024,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9215494,,Writing;Instruments;Reliability;Education;Virtual reality;Three-dimensional displays;Loading,computer aided instruction;educational institutions;human factors;linguistics;natural languages;virtual reality,MEVRCLQ;VR-assisted Chinese language learning;engagement constructs;Chinese secondary school students;motivation and engagement virtual reality Chinese language learningmotivation and engagement virtual reality chinese language learning questionnaire;Hong Kong;student first language,,2.0,,44.0,IEEE,7 Oct 2020,,,IEEE,IEEE Conferences,43,"{'reliability', 'virtual', 'reality'}",3
79,39,The Difference in Measuring Reachability Distance between Using Virtual Reality Technology and Manual Measurement,W. Xiong; X. Yu; Y. -C. Lee,"School of Design, South China University of Technology, Guangzhou, China; School of Design, South China University of Technology, Guangzhou, China; School of Design, South China University of Technology, Guangzhou, China",2020 IEEE 7th International Conference on Industrial Engineering and Applications (ICIEA),27 May 2020,2020,,,390,393,"The aim of the present study was to compare the difference of reachability distance which was collected by virtual reality simulation and manual method separately. Forty-two subjects (21 males) were recruited in this study. Subjects were asked to estimate the reachability distance to an approaching confederate in the real and virtual environments. Results showed that the reachability distance obtained in the virtual reality environment was significantly larger than that in the real world. A similar result was found in the two methods: subjects chose a significantly larger reachability distance when facing male confederate than female confederate. Besides, both virtual reality technology and manual measurement showed high reliability when measuring the reachability distance. Using virtual reality technology to collect reachability distance had higher reliability than using the manual method when facing male and female confederates.",,978-1-7281-6785-5,10.1109/ICIEA49774.2020.9102055,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9102055,reachability distance;virtual reality;manual measurement;comparative evaluation,Manuals;Reliability;Virtual reality;Solid modeling;Face;Tools;Analysis of variance,avatars;human factors,virtual reality technology;manual measurement;reachability distance measurement;confederate avatar,,2.0,,16.0,IEEE,27 May 2020,,,IEEE,IEEE Conferences,43,"{'reliability', 'virtual', 'reality'}",3
78,40,An Immersive Model of User Trust in Conversational Agents in Virtual Reality,C. Yildirim,"Khoury College of Computer Sciences, Northeastern University, Boston, MA",2021 Third International Conference on Transdisciplinary AI (TransAI),18 Oct 2021,2021,,,17,18,"Conversational agents (CAs) have been widely adopted for various purposes, ranging from personal assistants to health information providers. While the research on CAs is growing rapidly, less attention is paid to CAs in virtual reality (VR) environments with respect to how the design of these agents influences their trustworthiness as perceived by users, which is key to the adoption and use of VR products featuring CAs. Accordingly, this position paper conceptualizes an immersive model of user trust in CAs in VR. The model is centered around users’ sense of co-presence with CAs in VR, which is influenced by the agents’ embodiment, expressiveness, and responsiveness.",,978-1-6654-3412-6,10.1109/TransAI51903.2021.00011,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9565620,"Conversational Agents, Trust, Virtual Reality, Virtual Conversational Agents",Solid modeling;Virtual reality;Distance measurement;Artificial intelligence,chatbots;medical information systems;virtual reality,CAs;virtual reality environments;VR products;immersive model;user trust;conversational agents;health information providers;agent embodiment,,,,14.0,IEEE,18 Oct 2021,,,IEEE,IEEE Conferences,43,"{'trustworthiness', 'reality', 'virtual'}",3
