,Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,occurence,keywords,key_words_count
89,Correction Method of Basketball Shooting Errors Based on Virtual Reality Technology,W. Yang; H. Yi,"Nan Chang Business College of Jxau, Gongqing Cheng, China; Nan Chang Business College of Jxau, Gongqing Cheng, China",2022 Global Reliability and Prognostics and Health Management (PHM-Yantai),14 Nov 2022,2022,,,1,8,"The initial angle error of basketball shooting wrong action correction is large, which leads to the low number of shots. A correction method for basketball shooting wrong action based on virtual reality technology is proposed. Pre-construct 3D scenes, sample basketball training shooting angle vision, establish shooting angle behavior parameter analysis model, estimate shooting angle, analyze shooting angle using joint feature analysis method and key technical action parameters, and obtain basketball training action under multi-view feature fusion Image rectification frame structure. On this basis, the scene model of motion attitude tracking is established, and the third-order autocorrelation function is used to track and analyze the motion trajectory, so as to correct the wrong action of basketball shooting. The experimental results show that the correction method studied has a good tracking effect in motion tracking, the maximum error of the initial angle is only 0.1 rad, and the average number of hits reaches 7.7 times. This method not only effectively controls the initial angle, but also effectively improves the The number of shots made to meet the design requirements of the method.",,978-1-6654-9631-5,10.1109/PHM-Yantai55411.2022.9941782,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9941782,Virtual reality technology;Shoot;Wrong action;Correction;Three dimensional;Angle,Training;Solid modeling;Analytical models;Visualization;Three-dimensional displays;Tracking;Virtual reality,attitude control;computer vision;correlation methods;feature extraction;image fusion;image motion analysis;sport;tracking;video signal processing;virtual reality,basketball shooting errors;basketball shooting wrong action correction;basketball training action;correction method;fusion Image rectification frame structure;good tracking effect;initial angle error;joint feature analysis method;key technical action parameters;motion attitude tracking;motion tracking;pre-construct 3D scenes;sample basketball training shooting angle;scene model;shooting angle behavior parameter analysis model;virtual reality technology,,,,15.0,IEEE,14 Nov 2022,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
88,The State of Practice on Virtual Reality (VR) Applications: An Exploratory Study on Github and Stack Overflow,N. Ghrairi; S. Kpodjedo; A. Barrak; F. Petrillo; F. Khomh,"ETS Montreal, Canada; ETS Montreal, Canada; ETS Montreal, Canada; ETS Montreal, Canada; ETS Montreal, Canada","2018 IEEE International Conference on Software Quality, Reliability and Security (QRS)",6 Aug 2018,2018,,,356,366,"Virtual Reality (VR) is a computer technology that holds the promise of revolutionizing the way we live. The release in 2016 of new-generation headsets from Facebook-owned Oculus and HTC has renewed the interest in that technology. Thousands of VR applications have been developed over the past years, but most software developers lack formal training on this technology. In this paper, we propose descriptive information on the state of practice of VR applications' development to understand the level of maturity of this new technology from the perspective of Software Engineering (SE). To do so, we focused on the analysis of 320 VR open source projects from Github to determine which are the most popular languages and engines used in VR projects, and evaluate the quality of the projects from a software metric perspective. To get further insights on VR development, we also manually analyzed nearly 300 questions from Stack Overflow. Our results show that (1) VR projects on GitHub are currently mostly small to medium projects, and (2) the most popular languages are JavaScript and C#. Unity is the most used game engine during VR development and the most discussed topic on Stack Overflow. Overall, our exploratory study is one of the very first of its kind for VR projects and provides material that is hopefully a starting point for further research on challenges and opportunities for VR software development.",,978-1-5386-7757-5,10.1109/QRS.2018.00048,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8424986,"Virtual Reality, state of practice, Software Quality, empirical study",Games;Virtual reality;Engines;Measurement;Software;Tools;Complexity theory,C# language;Java;project management;public domain software;software metrics;software quality;virtual reality,virtual reality;github;computer technology;VR applications;Software Engineering;software metric perspective;VR development;Stack Overflow;VR software development;VR open source projects;new-generation headsets;Oculus;software project quality;JavaScript;C# language,,5.0,,25.0,IEEE,6 Aug 2018,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
86,Learning-based Strategy for RIS-Assisted Terahertz Virtual Reality Networks,X. Liu; Y. Deng; C. Han; M. Di Renzo,"Department of Engineering, King's College London, London, UK; Department of Engineering, King's College London, London, UK; Terahertz Wireless Communications Laboratory, Shanghai Jiao Tong University, China; Université Paris-Saclay, CNRS, CentraleSupélec, Laboratoire des Signaux et Systèmes, France",2021 IEEE Global Communications Conference (GLOBECOM),2 Feb 2022,2021,,,1,6,"The quality of experience (QoE) requirement of wireless virtual reality (VR) can only be satisfied with high data rate, high reliability, and low VR interaction latency. This high data rate over short transmission distances may be achieved via the abundant spectrum in the terahertz (THz) band. However, THz waves suffer from severe signal attenuation, which may be compensated by the reconfigurable intelligent surface (RIS) technology with adjustable phase-shift of each reflecting element. Motivated by these considerations, in this paper, we propose an RIS-assisted THz VR network in an indoor scenario, taking into account the viewpoint prediction and downlink transmission. We first propose a genie-aided online gated recurrent unit (GRU) and integration of online long-short term memory (LSTM) and convolutional neural network (CNN) algorithm to predict the viewpoint, location, and the line-of-sight (LoS) and non-line-of-sight (NLoS) statuses of the VR users over time, with the aim to optimize the long-term QoE of the VR users. We then develop a constrained deep reinforcement learning algorithm to select the optimal phase shifts of the RIS for the downlink transmission under latency constraints. Simulation results show that the proposed ensemble learning architecture achieves near-optimal QoE as that of an exhaustive algorithm, and about two times improvement in QoE compared to the random phase shift selection scheme.",,978-1-7281-8104-2,10.1109/GLOBECOM46510.2021.9686000,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9686000,Terahertz transmission;reconfigurable intelligent surface;constrained deep reinforcement learning;convolutional neural network;virtual reality,Wireless communication;Simulation;Virtual reality;Reinforcement learning;Streaming media;Prediction algorithms;Downlink,convolutional neural nets;deep learning (artificial intelligence);indoor radio;intelligent materials;quality of experience;recurrent neural nets;reinforcement learning;telecommunication computing;virtual reality,severe signal attenuation;reconfigurable intelligent surface;adjustable phase-shift;reflecting element;VR network;viewpoint prediction;downlink transmission;long-short term memory;convolutional neural network algorithm;line-of-sight;nonline-of-sight;VR users;long-term QoE;constrained deep reinforcement learning algorithm;optimal phase shifts;near-optimal QoE;random phase shift selection scheme;RIS-assisted terahertz virtual reality networks;experience requirement;wireless virtual reality;high data rate;high reliability;low VR interaction;short transmission distances;abundant spectrum;terahertz band;learning-based strategy;quality of experience;indoor scenario;genie-aided online gated recurrent unit,,,,15.0,IEEE,2 Feb 2022,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
84,Viewpoint Prediction and Uplink Retransmission for Wireless Virtual Reality (VR) Network,X. Liu; Y. Deng,"Department of Engineering, King’s College London, London, UK; Department of Engineering, King’s College London, London, UK",ICC 2021 - IEEE International Conference on Communications,6 Aug 2021,2021,,,1,6,"Wireless Virtual Reality (VR) users are able to enjoy immersive experience from anywhere at anytime. However, providing full spherical VR video with high quality under limited VR interaction latency is challenging. If the viewpoint of the VR user can be predicted in advance, only the required viewpoint is needed to be rendered and delivered, which can reduce the VR interaction latency. Therefore, in this paper, we use online learning algorithms to predict viewpoint of the VR user using real VR dataset. For the online learning algorithm, based on the VR user’s actual viewpoint delivered through uplink transmission, we compare it with the predicted viewpoint and update the parameters of the online learning algorithm to further improve the prediction accuracy. To guarantee the reliability of the uplink transmission, we integrate the Proactive retransmission scheme into our proposed online learning algorithm. Simulation results show that the online learning algorithm integrated with the proactive retransmission scheme can achieve about 5% prediction error.",1938-1883,978-1-7281-7122-7,10.1109/ICC42927.2021.9500329,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9500329,Viewpoint prediction;uplink retransmission;online learning;virtual reality (VR),Wireless communication;Solid modeling;Simulation;Conferences;Immersive experience;Artificial neural networks;Prediction algorithms,learning (artificial intelligence);video signal processing;virtual reality,online learning algorithm;proactive retransmission scheme;wireless virtual reality network;spherical VR video;Viewpoint Prediction;Uplink Retransmission,,1.0,,12.0,IEEE,6 Aug 2021,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
83,Virtual Reality Mobile Application Testing in a 5G Testbed,S. K. Datta,"Digiotouch OU, Estonia",2019 Eleventh International Conference on Ubiquitous and Future Networks (ICUFN),22 Aug 2019,2019,,,455,459,"This paper describes an experiment for a Virtual Reality (VR) mobile application testing in a 5G testbed. The application in its current state streams high quality multimedia content from a Cloud server creating an immersive experience for the end user. While loading the 3D environment from the Cloud server, high LTE network latency and high power consumption are observed. In this context, utilizing Multi-Access Edge Computing (MEC) and 5G technologies can bring many benefits to the VR application. An experiment has been designed to test the application in a 5G testbed and metrics in terms of reliability, power consumption, network resources consumption, and user experience are noted. The paper reports the experiment, testbed tools, results obtained, and upgrades performed to VR application.",2165-8536,978-1-7281-1340-1,10.1109/ICUFN.2019.8806058,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8806058,5G;Virtual Reality;Testbed,Streaming media;5G mobile communication;Servers;Three-dimensional displays;Power demand;Smart phones;Testing,cloud computing;Long Term Evolution;mobile computing;multimedia computing;program testing;virtual reality,immersive experience;VR application;user experience;multimedia content;cloud server;LTE network;virtual reality mobile application testing,,3.0,,3.0,IEEE,22 Aug 2019,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
82,Designing Collaborative and Coordinated Virtual Reality Training Integrated with Virtual and Physical Factories,E. Yildiz; M. Melo; C. Møller; M. Bessa,"Center for Industrial Production, Aalborg University, Aalborg, Denmark; Institute for Systems and Computer Engineering, Technology and Science, INESC TEC, Porto, Portugal; Center for Industrial Production, Aalborg University, Aalborg, Denmark; University of Trá s-os-Montes e Alto Douro (UTAD), Vila Real, Portugal",2019 International Conference on Graphics and Interaction (ICGI),14 Jan 2020,2019,,,48,55,"Rapidly changing customer demands, regulations and technologies drive the complexity of products, processes and production systems, as well as shorter product and factory lifecycles. In order to handle such complexity while decreasing the time-to-market, immersive virtual reality (VR) technologies are increasingly being used in industry to support product and factory lifecycle engineering processes, such as (re)design, validation and verification, learning and training. However, the design and development of multi-user VR training for complex and manual production processes remain a challenge for industry. The integration of VR training simulations with virtual and physical factories could support the handling of such obstacles in terms of efficiency and effectiveness by increasing the precision, accuracy and reliability of data used in VR simulations. In this study, we present a collaborative and coordinated VR training model and its data integration with virtual factory tools and manufacturing execution systems for a wind turbine assembly scenario. A demonstration has been performed and evaluated by industry experts. The preliminary evaluation results show that integrated collaborative VR training has significant potential for more efficient and effective training, as well as enabling new use cases for industry.",,978-1-7281-6378-9,10.1109/ICGI47575.2019.8955033,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8955033,Virtual Reality;Virtual Factory;Collaborative Virtual Reality Training;Virtual Reality Simulation,Training;Solid modeling;Collaboration;Industries;Data models;Production facilities,assembling;computer based training;data integration;groupware;industrial training;manufacturing systems;production facilities;time to market;virtual manufacturing;virtual reality;wind turbines,customer demands;production systems;immersive virtual reality technologies;factory lifecycle engineering processes;multiuser VR training;manual production processes;VR training simulations;virtual factories;physical factories;VR simulations;collaborative VR training model;coordinated VR training model;data integration;virtual factory tools;manufacturing execution systems;integrated collaborative VR training;collaborative virtual reality training;coordinated virtual reality training;time-to-market;wind turbine assembly scenario,,12.0,,37.0,IEEE,14 Jan 2020,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
80,Design and application of intelligent patrol system based on virtual reality,Z. Huang; D. Chen; M. Wang,"School of Mechanical Engineering and Automation, Beihang University, Beijing, China; School of Mechanical Engineering and Automation, Beihang University, Beijing, China; School of Mechanical Engineering and Automation, Beihang University, Beijing, China",2017 IEEE International Conference on Robotics and Biomimetics (ROBIO),26 Mar 2018,2017,,,1194,1199,"With the development of society, the size and numbers of large-scale places such as shopping malls and airports continue to expand and the need for security automation increases. Patrol robot is a comprehensive system with environmental awareness, route planning, dynamic decision making, behavior decision making and so on [1]. The existing patrols are mainly inefficient manual patrols and it is a viable solution to make patrol robots achieve regular, fixed patrol or interrupted patrol in a complex environment. As a technology with excellent human-computer interaction, virtual reality can be applied to patrol robots and it can improve efficiency and reliability of patrol task. Based on the modeling of known patrol environment, 3 modules based on C++ programming language, which include virtual display module, registration module based on OpenCV visual library, robot remote control module based on TCP/IP protocol, were developed in the paper. This above 3 modules make the system achieve the remote control function and online patrol function of patrol robot. In addition, the realistic sense of the virtual reality technology and the accuracy of registration technology has been proved been proved by experiments.",,978-1-5386-3742-5,10.1109/ROBIO.2017.8324580,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8324580,patrol robot;virtual reality;registration module,Robot kinematics;Webcams;Solid modeling;Three-dimensional displays;Virtual environments,control engineering computing;decision making;mobile robots;programming languages;security of data;telerobotics;transport protocols;virtual reality,manual patrols;TCP/IP protocol;C++ programming language;registration module;OpenCV visual library;security automation;virtual reality technology;online patrol function;robot remote control module;virtual display module;behavior decision making;dynamic decision making;patrol robot;intelligent patrol system,,4.0,,11.0,IEEE,26 Mar 2018,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
76,[Demo] Measurement of perceptual tolerance for inconsistencies within mixed reality scenes,G. Hough; I. Williams; C. Athwal,DMT Lab; Birmingham City University; DMT Lab; Birmingham City University; DMT Lab; Birmingham City University,2014 IEEE International Symposium on Mixed and Augmented Reality (ISMAR),6 Nov 2014,2014,,,343,344,"This demonstration is a live example of the experiment presented in [1], namely a method of assessing the visual credibility of a scene where a real person interacts with a virtual object in realtime. Inconsistencies created by actor's incorrect estimation of the virtual object are measured through a series of videos, each containing a defined visual error and rated against interaction credibility on a scale of 1–5 by conference delegates.",,978-1-4799-6184-9,10.1109/ISMAR.2014.6948480,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6948480,Virtual Studios;Performance Measurement;Interaction Framework;Mixed Reality,,,,,1.0,,,IEEE,6 Nov 2014,,,IEEE,IEEE Conferences,29,"{'mixed', 'reality'}",2
75,A portable virtual reality balance device to assess mild traumatic brain injury symptoms: A pilot validation study,W. G. Wright; J. McDevitt; K. O. Appiah-Kubi,"Department of Physical Therapy Department of Bioengineering Temple University, Philadelphia, PA, USA; Department of Kinesiology Temple University, Philadelphia, PA, USA; Department of Physical Therapy Temple University, Philadelphia, PA, USA",2015 International Conference on Virtual Rehabilitation (ICVR),17 Dec 2015,2015,,,72,79,"Mild traumatic brain injury (mTBI) following a head impact or blast exposure can cause diffuse injury to the brain, which can affect sensorimotor, cognitive, and emotional processes. Among the most common sensorimotor symptoms of mTBI is balance impairment. A commonly used assessments of balance following mTBI is the sensory organization test (SOT). This test has shown that postural deficits following head injury may be due to visual-vestibular processing issues, but it is less sensitive to unremitting symptoms that do not spontaneously resolve within a week. Our current project involves demonstrating validity and reliability of a novel low-cost, portable virtual reality-based balance screening device that employs established principles of sensorimotor reweighting and visual-vestibular integration. The goal is to determine if it can replace existing tools that are either prohibitively expensive or lack reliability or sensitivity. Methods: Healthy adults with no known musculoskeletal or neurological injury (n=27; 17 males, 10 females; 22.1±3.9 years) were tested to establish healthy norms. Individuals with mTBI (n=8; 4 males, 4 females; 20.0±1.7 years) were compared to the healthy norms. The new VR-based balance assessment system consists of a Wii balance board (WBB), a large screen television, and a custom-designed software user interface used to collect and process data. Subjects performed six upright postural tasks (three visual conditions either standing directly on the WBB or on foam placed on the WBB). Subjects viewed a virtual reality scene displayed on a 60"" television. The three visual conditions were Static Scene, Dark Scene, and Dynamic Scene (Roll at 60 deg/s). The WBB recorded COP at 100Hz for 30 sec. Dependent variables included COP velocity, root mean square, and sway area. Subjects also performed the sensory organization test (SOT), which can be used as criterion-measures for intraclass correlations with the new device. Results: Preliminary data on healthy subjects validates effectiveness of the device to reduce postural stability as sensory input reliability and availability decreases. Additionally, ur results reveal that individuals with mTBI have significantly worse balance scores on the new VR-device (p<;0.001). This highlights its sensitivity to balance disturbance even if when testing a small sample. Comparison of the new device to SOT shows good criterion validity with ROC curves revealing sensitivity/specificity equal or higher than the SOT. COP sway area, velocity, and standard deviation of medial-lateral and anterior-posterior sway were all sensitive dependent variables. In conclusion, this study helps demonstrate that our new VR-based assessment tool is a valid measure for detecting balance related changes in neurologically impaired individuals and can potentially replace much more expensive equipment. Using postural control as an outcome measure of brain injury may help improve identification of individuals with sub-acute symptoms which may be used to guide rehabilitation and clinical decision-making.",2331-9569,978-1-4799-8984-3,10.1109/ICVR.2015.7358591,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7358591,vestibular;visual;virtual environment;concussion,Reliability;Brain injuries;Organizations;Sensitivity;TV;Visualization,biomedical equipment;bone;decision making;injuries;mean square error methods;medical computing;neurophysiology;orthopaedics;reliability;virtual reality,portable virtual reality balance device;mild traumatic brain injury symptoms;head impact;blast exposure;diffuse injury;cognition;emotional processes;sensorimotor symptoms;sensory organization testing;mTBI;head injury;visual-vestibular processing;unremitting symptoms;portable virtual reality-based balance screening device;visual-vestibular integration;healthy adults;musculoskeletal injury;neurological injury;VR-based balance assessment system;Wii balance board;large screen television;custom-designed software;user interface;upright postural tasks;virtual reality;visual conditions;COP velocity;root mean square;postural stability;sensory input reliability;ROC curves;COP sway area;standard deviation;medial-lateral sway;anterior-posterior sway;sensitive dependent variables;VR-based assessment tool;neurologically impaired individuals;postural control;subacute symptoms;rehabilitation;clinical decision-making;frequency 100 Hz;time 30 s,,2.0,,31.0,IEEE,17 Dec 2015,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
72,Risk-Based Optimization of Virtual Reality over Terahertz Reconfigurable Intelligent Surfaces,C. Chaccour; M. N. Soorki; W. Saad; M. Bennis; P. Popovski,"Wireless@ VT, Virginia Tech, Blacksburg, VA, USA; Faculty of Engineering, Shahid Chamran University of Ahvaz, Ahvaz, Iran; Wireless@ VT, Virginia Tech, Blacksburg, VA, USA; Centre for Wireless Communications, University of Oulu, Finland; Department of Electronic Systems, Aalborg University, Denmark",ICC 2020 - 2020 IEEE International Conference on Communications (ICC),27 Jul 2020,2020,,,1,6,"In this paper, the problem of associating reconfigurable intelligent surfaces (RISs) to virtual reality (VR) users is studied for a wireless VR network. In particular, this problem is considered within a cellular network that employs terahertz (THz) operated RISs acting as base stations. To provide a seamless VR experience, high data rates and reliable low latency need to be continuously guaranteed. To address these challenges, a novel risk-based framework based on the entropic value-at-risk is proposed for rate optimization and reliability performance. Furthermore, a Lyapunov optimization technique is used to reformulate the problem as a linear weighted function, while ensuring that higher order statistics of the queue length are maintained under a threshold. To address this problem, given the stochastic nature of the channel, a policy-based reinforcement learning (RL) algorithm is proposed. Since the state space is extremely large, the policy is learned through a deep-RL algorithm. In particular, a recurrent neural network (RNN) RL framework is proposed to capture the dynamic channel behavior and improve the speed of conventional RL policy-search algorithms. Simulation results demonstrate that the maximal queue length resulting from the proposed approach is only within 1% of the optimal solution. The results show a high accuracy and fast convergence for the RNN with a validation accuracy of 91.92%.",1938-1883,978-1-7281-5089-5,10.1109/ICC40277.2020.9149411,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9149411,Virtual Reality;Terahertz;Reliability,Reliability;Wireless communication;Optimization;Delays;Heuristic algorithms;Virtual reality;Recurrent neural networks,computer networks;learning (artificial intelligence);optimisation;queueing theory;recurrent neural nets;stochastic processes;virtual reality,cellular network;RISs;base stations;seamless VR experience;high data rates;risk-based framework;entropic value-at-risk;rate optimization;Lyapunov optimization technique;linear weighted function;higher order statistics;policy-based reinforcement learning algorithm;deep-RL algorithm;recurrent neural network RL framework;dynamic channel behavior;maximal queue length;risk-based optimization;terahertz reconfigurable intelligent surfaces;virtual reality users;wireless VR network;RL policy-search algorithms,,36.0,,21.0,IEEE,27 Jul 2020,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
121,Use of Virtual Reality for the Evaluation of Human-Robot Interaction Systems in Complex Scenarios,V. Villani; B. Capelli; L. Sabattini,"Department of Sciences and Methods for Engineering (DISMI), University of Modena and Reggio Emilia, Reggio Emilia, Italy; Department of Sciences and Methods for Engineering (DISMI), University of Modena and Reggio Emilia, Reggio Emilia, Italy; Department of Sciences and Methods for Engineering (DISMI), University of Modena and Reggio Emilia, Reggio Emilia, Italy",2018 27th IEEE International Symposium on Robot and Human Interactive Communication (RO-MAN),8 Nov 2018,2018,,,422,427,"Human-robot interaction has gained a lot of attention in recent years, since the use of robots can complement and improve human capabilities. To make such interaction smooth, proper interaction approaches are needed. Customarily these are tested in simplified scenarios and tame laboratory environment, since reproducing complex real use cases is often difficult. Achieved results are then not representative of actual interaction in reality and do not scale to complex scenarios. To overcome this issue, in this paper we consider the use of virtual reality as an alternative tool to assess HRI in those scenarios that are difficult to reproduce in reality. To this end, we compare the interaction experience for the same task, which is carried out in both virtual reality and real environment. To assess user's interaction in the two scenarios, we consider quantitative task related metrics, mental workload sustained, and subjective reporting. Results show that virtual reality allows to reproduce a faithful interaction experience and, thus, can be used to reliably validate human-robot interaction approaches in complex scenarios.",1944-9437,978-1-5386-7980-7,10.1109/ROMAN.2018.8525738,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8525738,,Robots;Task analysis;Measurement;Fatigue;Logic gates;Virtual reality;Reliability,control engineering computing;human-robot interaction;mobile robots;user interfaces;virtual reality,virtual reality;human-robot interaction systems;complex scenarios;robots;users interaction;HRI,,9.0,,21.0,IEEE,8 Nov 2018,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
127,"The Effect of an Adaptive Simulated Inner Voice on User’s Eye-gaze Behaviour, Ownership Perception and Plausibility Judgement in Virtual Reality",D. Ding; M. A. Neerincx; W. -P. Brinkman,"Southeast University, School of Computer Science and Engineering, Nanjing, 210018, China; Delft University of Technology, Department of Intelligent Systems, Delft, 2628 XE, The Netherlands; dingding-1@seu.edu.cn; Delft University of Technology, Department of Intelligent Systems, Delft, 2628 XE, The Netherlands; TNO, Perceptual and Cognitive Systems, Soesterberg, 3769 DE, The Netherlands; Delft University of Technology, Department of Intelligent Systems, Delft, 2628 XE, The Netherlands",Interacting with Computers,23 Aug 2021,2020,32.0,1.0,510,523,"Virtual cognitions (VCs) are a stream of simulated thoughts people hear while emerged in a virtual environment, e.g. by hearing a simulated inner voice presented as a voice over. They can enhance people’s self-efficacy and knowledge about, for example, social interactions as previous studies have shown. Ownership and plausibility of these VCs are regarded as important for their effect, and enhancing both might, therefore, be beneficial. A potential strategy for achieving this is the synchronization of the VCs with people’s eye fixation using eye-tracking technology embedded in a head-mounted display. Hence, this paper tests this idea in the context of a pre-therapy for spider and snake phobia to examine the ability to guide people’s eye fixation. An experiment with 24 participants was conducted using a within-subjects design. Each participant was exposed to two conditions: one where the VCs were adapted to eye gaze of the participant and the other where they were not adapted, i.e. the control condition. The findings of a Bayesian analysis suggest that credibly more ownership was reported and more eye-gaze shift behaviour was observed in the eye-gaze-adapted condition than in the control condition. Compared to the alternative of no or negative mediation, the findings also give some more credibility to the hypothesis that ownership, at least partly, positively mediates the effect eye-gaze-adapted VCs have on eye-gaze shift behaviour. Only weak support was found for plausibility as a mediator. These findings help improve insight into how VCs affect people.",1873-7951,,10.1093/iwcomp/iwab008,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9520909,eye tracking;eye-gaze adaptive;virtual cognitions;virtual reality exposure;spider phobia;snake phobia,,,,,,,,,23 Aug 2021,,,OUP,OUP Journals,29,"{'virtual', 'reality'}",2
60,Research on 10kV Line Breaker Check Training System Based on Virtual Reality,X. Xu; L. Shen; S. Li; S. Wang,"Shibei Power Supply Company of SMEPC, Shanghai, China; Shibei Power Supply Company of SMEPC, Shanghai, China; Shibei Power Supply Company of SMEPC, Shanghai, China; Shibei Power Supply Company of SMEPC, Shanghai, China",2019 International Conference on Smart Grid and Electrical Automation (ICSGEA),14 Nov 2019,2019,,,18,21,"The training is the important means to improve power system operators' quality and ensure the safe, stable and reliable operation of power system. The job of 10kV line breaker check is one of the most important tasks of relay protection, and the training effect of this job is directly related to the work efficiency and quality of relay protection employees. However, in the training for relay protection trainees, it is impossible to carry out the actual operation in the substation considering the safety factor, and the construction of simulated substation costs a lot. To solve this problem, this paper uses Unity to develop a 10kV line breaker check training system based on virtual reality (VR). The training system development tools, 10kV line breaker check project, the training system structure and function design are introduced in the paper. Practical application shows that the training system is simple to use, easy to learn, can timely and quickly transfer data and results, which has achieved a good training effect.",,978-1-7281-4463-4,10.1109/ICSGEA.2019.00013,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8901373,10kV line breaker check;relay protection;virtual reality,,circuit breakers;computer based training;power engineering computing;power engineering education;power supply quality;power system reliability;power system stability;relay protection;virtual reality,safe operation;stable operation;relay protection employees;relay protection trainees;virtual reality;training system development tools;training system structure;function design;training effect;power system operators;line breaker check project;voltage 10.0 kV,,1.0,,11.0,IEEE,14 Nov 2019,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
129,Enhancing neurocognitive assessment using immersive virtual reality,T. D. Parsons; S. McPherson; V. Interrante,"Department of Psychology, University of North Texas; Neuropsychologist private practice, Edina, Minnesota; Department of Computer Science, University of Minnesota",2013 1st Workshop on Virtual and Augmented Assistive Technology (VAAT),10 Apr 2014,2013,,,27,34,"Immersive virtual reality has significant potential as a tool for enhancing the reliability and specificity of neurocognitive assessment by supporting the ability to carry out carefully controlled, replicable, highly detailed and ecologically valid testing of peoples' ability to perform complex executive functions such as planning and organizing, problem-solving and multitasking, and selective attention and inhibitory control, which are difficult to evaluate using standard paper-and-pencil measures of basic cognitive abilities such as memory, learning, or reasoning. We begin this short paper with an overview of current diagnostic needs in the field of neuropsychology, and a vision of the advantages that immersive virtual reality has the potential to offer as a diagnostic platform. We then briefly summarize our preliminary efforts to develop a robust virtual reality platform for neuropsychological assessment that incorporates a variety of physiological metrics as well as detailed measures of multiple attributes of task performance in a Virtual Environments Grocery Store (VEGS).",,978-1-4799-3896-4,10.1109/VAAT.2013.6786190,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6786190,Virtual Reality;Neuropsychology;Rehabilitation;Cognitive Assessment,Virtual environments;Testing;Batteries;Solid modeling;Standards;Computers,cognition;medical diagnostic computing;neurophysiology;patient rehabilitation;virtual reality,neurocognitive assessment;immersive virtual reality;executive functions;planning-and-organizing function;problem-solving-and-multitasking function;selective attention-and-inhibitory control function;cognitive abilities;memory ability;learning ability;reasoning ability;neuropsychology;diagnostic platform;robust virtual reality platform;neuropsychological assessment;physiological metrics;virtual environments grocery store;VEGS,,18.0,,42.0,IEEE,10 Apr 2014,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
